________________________________________________________________________________
Shailesh systeem process logeerWed Nov 16 17:11:45 2022
________________________________________________________________________________
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'Memory(MB)': 0.05859375}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'Memory(MB)': 0.265625}
{'pid': 100, 'name': 'Registry', 'username': None, 'Memory(MB)': 7.4609375}
{'pid': 240, 'name': 'ZVMonNt.exe', 'username': None, 'Memory(MB)': 33.5625}
{'pid': 376, 'name': 'wininit.exe', 'username': None, 'Memory(MB)': 1.40234375}
{'pid': 416, 'name': 'csrss.exe', 'username': None, 'Memory(MB)': 2.36328125}
{'pid': 432, 'name': 'smss.exe', 'username': None, 'Memory(MB)': 1.03515625}
{'pid': 660, 'name': 'csrss.exe', 'username': None, 'Memory(MB)': 1.9296875}
{'pid': 700, 'name': 'services.exe', 'username': None, 'Memory(MB)': 5.7109375}
{'pid': 716, 'name': 'lsass.exe', 'username': None, 'Memory(MB)': 7.4609375}
{'pid': 808, 'name': 'fontdrvhost.exe', 'username': None, 'Memory(MB)': 3.5234375}
{'pid': 816, 'name': 'chrome.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 171.43359375}
{'pid': 864, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 12.03515625}
{'pid': 916, 'name': 'fontdrvhost.exe', 'username': None, 'Memory(MB)': 1.7421875}
{'pid': 920, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 8.1015625}
{'pid': 996, 'name': 'winlogon.exe', 'username': None, 'Memory(MB)': 2.64453125}
{'pid': 1076, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.34765625}
{'pid': 1144, 'name': 'dwm.exe', 'username': None, 'Memory(MB)': 50.26953125}
{'pid': 1188, 'name': 'OCTACORE.EXE', 'username': None, 'Memory(MB)': 15.734375}
{'pid': 1264, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.4375}
{'pid': 1272, 'name': 'conhost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 1.31640625}
{'pid': 1276, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.8125}
{'pid': 1284, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.80859375}
{'pid': 1308, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.296875}
{'pid': 1380, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 3.10546875}
{'pid': 1392, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.44140625}
{'pid': 1472, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.0}
{'pid': 1480, 'name': 'atieclxx.exe', 'username': None, 'Memory(MB)': 2.4140625}
{'pid': 1644, 'name': 'conhost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 0.8359375}
{'pid': 1748, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 3.44140625}
{'pid': 1788, 'name': 'atiesrxx.exe', 'username': None, 'Memory(MB)': 1.3359375}
{'pid': 1816, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 6.1796875}
{'pid': 1844, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 16.08984375}
{'pid': 1884, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.91796875}
{'pid': 1908, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.3828125}
{'pid': 1916, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 3.0234375}
{'pid': 1952, 'name': 'vlc.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 41.27734375}
{'pid': 2076, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.9375}
{'pid': 2092, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.42578125}
{'pid': 2112, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.265625}
{'pid': 2120, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.83984375}
{'pid': 2128, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 6.96875}
{'pid': 2304, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.84375}
{'pid': 2344, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.546875}
{'pid': 2364, 'name': 'igfxCUIService.exe', 'username': None, 'Memory(MB)': 2.140625}
{'pid': 2456, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.90234375}
{'pid': 2464, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.75390625}
{'pid': 2612, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 13.765625}
{'pid': 2624, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.265625}
{'pid': 2660, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 3.5}
{'pid': 2792, 'name': 'RtkAudioService64.exe', 'username': None, 'Memory(MB)': 2.0234375}
{'pid': 2920, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 4.3515625}
{'pid': 2928, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.62109375}
{'pid': 2988, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.6484375}
{'pid': 2996, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.18359375}
{'pid': 3004, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.82421875}
{'pid': 3028, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 3.68359375}
{'pid': 3088, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.05078125}
{'pid': 3100, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.95703125}
{'pid': 3112, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.4375}
{'pid': 3120, 'name': 'RAVBg64.exe', 'username': None, 'Memory(MB)': 6.3125}
{'pid': 3136, 'name': 'python.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 6.40234375}
{'pid': 3184, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.01953125}
{'pid': 3208, 'name': 'WmiPrvSE.exe', 'username': None, 'Memory(MB)': 27.15625}
{'pid': 3360, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 5.66015625}
{'pid': 3376, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 4.6640625}
{'pid': 3408, 'name': 'TextInputHost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 15.1875}
{'pid': 3456, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.9296875}
{'pid': 3472, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.4375}
{'pid': 3564, 'name': 'spoolsv.exe', 'username': None, 'Memory(MB)': 5.44140625}
{'pid': 3636, 'name': 'dllhost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 3.80859375}
{'pid': 3664, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 10.03125}
{'pid': 3724, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.9609375}
{'pid': 3792, 'name': 'chrome.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 19.09765625}
{'pid': 3880, 'name': 'wlanext.exe', 'username': None, 'Memory(MB)': 1.3125}
{'pid': 3888, 'name': 'conhost.exe', 'username': None, 'Memory(MB)': 6.08984375}
{'pid': 3896, 'name': 'audiodg.exe', 'username': None, 'Memory(MB)': 31.21875}
{'pid': 4100, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 20.7109375}
{'pid': 4108, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 31.66796875}
{'pid': 4116, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.8125}
{'pid': 4124, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.6640625}
{'pid': 4132, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 4.74609375}
{'pid': 4140, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 4.40625}
{'pid': 4148, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.26171875}
{'pid': 4156, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.55078125}
{'pid': 4168, 'name': 'conhost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 6.19140625}
{'pid': 4180, 'name': 'NisSrv.exe', 'username': None, 'Memory(MB)': 3.8203125}
{'pid': 4188, 'name': 'chrome.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 122.00390625}
{'pid': 4272, 'name': 'DptfPolicyConfigTDPService.exe', 'username': None, 'Memory(MB)': 1.15234375}
{'pid': 4280, 'name': 'DptfParticipantProcessorService.exe', 'username': None, 'Memory(MB)': 1.109375}
{'pid': 4288, 'name': 'DptfPolicyLpmService.exe', 'username': None, 'Memory(MB)': 1.125}
{'pid': 4316, 'name': 'NPHOST.EXE', 'username': None, 'Memory(MB)': 5.78515625}
{'pid': 4348, 'name': 'NPProt.exe', 'username': None, 'Memory(MB)': 0.84375}
{'pid': 4420, 'name': 'DptfPolicyCriticalService.exe', 'username': None, 'Memory(MB)': 1.16015625}
{'pid': 4428, 'name': 'BtwRSupportService.exe', 'username': None, 'Memory(MB)': 1.8203125}
{'pid': 4436, 'name': 'MicronCacheMonitor.exe', 'username': None, 'Memory(MB)': 1.859375}
{'pid': 4444, 'name': 'SynTPEnhService.exe', 'username': None, 'Memory(MB)': 1.2265625}
{'pid': 4452, 'name': 'MsMpEng.exe', 'username': None, 'Memory(MB)': 247.73046875}
{'pid': 4468, 'name': 'WEBPROT2.EXE', 'username': None, 'Memory(MB)': 10.6015625}
{'pid': 4484, 'name': 'AdAppMgrSvc.exe', 'username': None, 'Memory(MB)': 6.6875}
{'pid': 4564, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.51953125}
{'pid': 4612, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.234375}
{'pid': 4688, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 3.25390625}
{'pid': 4852, 'name': 'vdsldr.exe', 'username': None, 'Memory(MB)': 1.30859375}
{'pid': 4880, 'name': 'UserOOBEBroker.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 2.01953125}
{'pid': 5064, 'name': 'chrome.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 96.37109375}
{'pid': 5316, 'name': 'svchost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 3.82421875}
{'pid': 5340, 'name': 'sihost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 6.44140625}
{'pid': 5452, 'name': 'svchost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 9.1953125}
